rank_seen,full_name,stargazers_count,clone_url,html_url,language,description,cmake_indicator,fail_reason
7,bitcoin/bitcoin,86538,https://github.com/bitcoin/bitcoin.git,https://github.com/bitcoin/bitcoin,cpp,Bitcoin Core integration/staging tree,targets
10,tesseract-ocr/tesseract,70616,https://github.com/tesseract-ocr/tesseract.git,https://github.com/tesseract-ocr/tesseract,cpp,Tesseract Open Source OCR Engine (main repository),targets
17,x64dbg/x64dbg,47134,https://github.com/x64dbg/x64dbg.git,https://github.com/x64dbg/x64dbg,cpp,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,targets
20,ClickHouse/ClickHouse,43696,https://github.com/ClickHouse/ClickHouse.git,https://github.com/ClickHouse/ClickHouse,cpp,ClickHouseÂ® is a real-time analytics database management system,targets
24,google/leveldb,38286,https://github.com/google/leveldb.git,https://github.com/google/leveldb,cpp,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,targets
36,SerenityOS/serenity,32532,https://github.com/SerenityOS/serenity.git,https://github.com/SerenityOS/serenity,cpp,The Serenity Operating System ğŸ,targets
38,hyprwm/Hyprland,31637,https://github.com/hyprwm/Hyprland.git,https://github.com/hyprwm/Hyprland,cpp,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",targets
39,facebook/rocksdb,30892,https://github.com/facebook/rocksdb.git,https://github.com/facebook/rocksdb,cpp,"A library that provides an embeddable, persistent key-value store for fast storage.",targets
43,facebook/folly,30001,https://github.com/facebook/folly.git,https://github.com/facebook/folly,cpp,An open-source C++ library developed and used at Facebook.,targets
46,flameshot-org/flameshot,28111,https://github.com/flameshot-org/flameshot.git,https://github.com/flameshot-org/flameshot,cpp,Powerful yet simple to use screenshot software :desktop_computer: :camera_flash:,targets
49,aristocratos/btop,27729,https://github.com/aristocratos/btop.git,https://github.com/aristocratos/btop,cpp,A monitor of resources,targets
53,dmlc/xgboost,27553,https://github.com/dmlc/xgboost.git,https://github.com/dmlc/xgboost,cpp,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",targets
57,shadps4-emu/shadPS4,26857,https://github.com/shadps4-emu/shadPS4.git,https://github.com/shadps4-emu/shadPS4,cpp,"PlayStation 4 emulator for Windows, Linux and macOS written in C++",targets
67,typesense/typesense,24615,https://github.com/typesense/typesense.git,https://github.com/typesense/typesense,cpp,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch âš¡ ğŸ” âœ¨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences",targets
73,sqlitebrowser/sqlitebrowser,23136,https://github.com/sqlitebrowser/sqlitebrowser.git,https://github.com/sqlitebrowser/sqlitebrowser,cpp,"Official home of the DB Browser for SQLite (DB4S) project. Previously known as ""SQLite Database Browser"" and ""Database Browser for SQLite"". Website at: ",targets
74,osquery/osquery,22839,https://github.com/osquery/osquery.git,https://github.com/osquery/osquery,cpp,"SQL powered operating system instrumentation, monitoring, and analytics.",targets
78,ml-explore/mlx,22633,https://github.com/ml-explore/mlx.git,https://github.com/ml-explore/mlx,cpp,MLX: An array framework for Apple silicon,targets
85,xbmc/xbmc,19979,https://github.com/xbmc/xbmc.git,https://github.com/xbmc/xbmc,cpp,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",targets
92,swoole/swoole-src,18772,https://github.com/swoole/swoole-src.git,https://github.com/swoole/swoole-src,cpp,ğŸš€ Coroutine-based concurrency library for PHP,targets
96,MaaAssistantArknights/MaaAssistantArknights,18463,https://github.com/MaaAssistantArknights/MaaAssistantArknights.git,https://github.com/MaaAssistantArknights/MaaAssistantArknights,cpp,"ã€Šæ˜æ—¥æ–¹èˆŸã€‹å°åŠ©æ‰‹ï¼Œå…¨æ—¥å¸¸ä¸€é”®é•¿è‰ï¼| A one-click tool for the daily tasks of Arknights, supporting all clients.",targets
103,SFML/SFML,11401,https://github.com/SFML/SFML.git,https://github.com/SFML/SFML,cpp,Simple and Fast Multimedia Library,targets
104,manticoresoftware/manticoresearch,11381,https://github.com/manticoresoftware/manticoresearch.git,https://github.com/manticoresoftware/manticoresearch,cpp,Easy to use open source fast database for search | Good alternative to Elasticsearch now | Drop-in replacement for E in the ELK stack,targets
109,SoftFever/OrcaSlicer,11294,https://github.com/SoftFever/OrcaSlicer.git,https://github.com/SoftFever/OrcaSlicer,cpp,"G-code generator for 3D printers (Bambu, Prusa, Voron, VzBot, RatRig, Creality, etc.)",targets
112,google-deepmind/mujoco,10981,https://github.com/google-deepmind/mujoco.git,https://github.com/google-deepmind/mujoco,cpp,Multi-Joint dynamics with Contact. A general purpose physics simulator.,targets
114,apache/thrift,10814,https://github.com/apache/thrift.git,https://github.com/apache/thrift,cpp,Apache Thrift,targets
125,PX4/PX4-Autopilot,10351,https://github.com/PX4/PX4-Autopilot.git,https://github.com/PX4/PX4-Autopilot,cpp,PX4 Autopilot Software,targets
130,rr-debugger/rr,10199,https://github.com/rr-debugger/rr.git,https://github.com/rr-debugger/rr,cpp,Record and Replay Framework,targets
131,colmap/colmap,10159,https://github.com/colmap/colmap.git,https://github.com/colmap/colmap,cpp,COLMAP - Structure-from-Motion and Multi-View Stereo,targets
135,raulmur/ORB_SLAM2,9984,https://github.com/raulmur/ORB_SLAM2.git,https://github.com/raulmur/ORB_SLAM2,cpp,"Real-Time SLAM for Monocular, Stereo and RGB-D Cameras, with Loop Detection and Relocalization Capabilities",targets
136,monero-project/monero,9980,https://github.com/monero-project/monero.git,https://github.com/monero-project/monero,cpp,"Monero: the secure, private, untraceable cryptocurrency",targets
139,google/benchmark,9799,https://github.com/google/benchmark.git,https://github.com/google/benchmark,cpp,A microbenchmark support library,targets
140,bpftrace/bpftrace,9698,https://github.com/bpftrace/bpftrace.git,https://github.com/bpftrace/bpftrace,cpp,High-level tracing language for Linux,targets
148,google/re2,9482,https://github.com/google/re2.git,https://github.com/google/re2,cpp,"RE2 is a fast, safe, thread-friendly alternative to backtracking regular expression engines like those used in PCRE, Perl, and Python. It is a C++ library.",targets
164,ange-yaghi/engine-sim,9165,https://github.com/ange-yaghi/engine-sim.git,https://github.com/ange-yaghi/engine-sim,cpp,Combustion engine simulator that generates realistic audio.,targets
166,Stellarium/stellarium,9146,https://github.com/Stellarium/stellarium.git,https://github.com/Stellarium/stellarium,cpp,"Stellarium is a free GPL software which renders realistic skies in real time with OpenGL. It is available for Linux/Unix, Windows and macOS. With Stellarium, you really see what you can see with your eyes, binoculars or a small telescope.",targets
167,nodegui/nodegui,9145,https://github.com/nodegui/nodegui.git,https://github.com/nodegui/nodegui,cpp,A library for building cross-platform native desktop applications with Node.js and CSS  ğŸš€.  React NodeGui : https://react.nodegui.org and Vue NodeGui: https://vue.nodegui.org,targets
170,diasurgical/DevilutionX,9084,https://github.com/diasurgical/DevilutionX.git,https://github.com/diasurgical/DevilutionX,cpp,Diablo build for modern operating systems,targets
176,scylladb/seastar,8933,https://github.com/scylladb/seastar.git,https://github.com/scylladb/seastar,cpp,High performance server-side application framework,targets
178,ggerganov/kbd-audio,8921,https://github.com/ggerganov/kbd-audio.git,https://github.com/ggerganov/kbd-audio,cpp,ğŸ¤âŒ¨ï¸ Acoustic keyboard eavesdropping,targets
179,KDE/krita,8897,https://github.com/KDE/krita.git,https://github.com/KDE/krita,cpp,Krita is a free and open source cross-platform application that offers an end-to-end solution for creating digital art files from scratch built on the KDE and Qt frameworks.,targets
183,olive-editor/olive,8820,https://github.com/olive-editor/olive.git,https://github.com/olive-editor/olive,cpp,Free open-source non-linear video editor,targets
185,canonical/multipass,8732,https://github.com/canonical/multipass.git,https://github.com/canonical/multipass,cpp,Multipass orchestrates virtual Ubuntu instances,targets
188,NVIDIA/cutlass,8702,https://github.com/NVIDIA/cutlass.git,https://github.com/NVIDIA/cutlass,cpp,CUDA Templates and Python DSLs for High-Performance Linear Algebra,targets
192,Tencent/libco,8623,https://github.com/Tencent/libco.git,https://github.com/Tencent/libco,cpp,libco is a coroutine library which is widely used in wechat  back-end service. It has been running on tens of thousands of machines since 2013.,targets
195,cemu-project/Cemu,8592,https://github.com/cemu-project/Cemu.git,https://github.com/cemu-project/Cemu,cpp,Cemu - Wii U emulator,targets
196,prusa3d/PrusaSlicer,8588,https://github.com/prusa3d/PrusaSlicer.git,https://github.com/prusa3d/PrusaSlicer,cpp,"G-code generator for 3D printers (RepRap, Makerbot, Ultimaker etc.)",targets
202,intel/hyperscan,5175,https://github.com/intel/hyperscan.git,https://github.com/intel/hyperscan,cpp,High-performance regular expression matching library,targets
209,valhalla/valhalla,5133,https://github.com/valhalla/valhalla.git,https://github.com/valhalla/valhalla,cpp,Open Source Routing Engine for OpenStreetMap,targets
211,lief-project/LIEF,5111,https://github.com/lief-project/LIEF.git,https://github.com/lief-project/LIEF,cpp,"LIEF - Library to Instrument Executable Formats (C++, Python, Rust)",targets
213,patriciogonzalezvivo/glslViewer,5098,https://github.com/patriciogonzalezvivo/glslViewer.git,https://github.com/patriciogonzalezvivo/glslViewer,cpp,Console-based GLSL Sandbox for 2D/3D shaders,targets
221,mmp/pbrt-v3,5033,https://github.com/mmp/pbrt-v3.git,https://github.com/mmp/pbrt-v3,cpp,"Source code for pbrt, the renderer described in the third edition of ""Physically Based Rendering: From Theory To Implementation"", by Matt Pharr, Wenzel Jakob, and Greg Humphreys.",targets
223,XRPLF/rippled,5017,https://github.com/XRPLF/rippled.git,https://github.com/XRPLF/rippled,cpp,Decentralized cryptocurrency blockchain daemon implementing the XRP Ledger protocol in C++,targets
224,wangyu-/UDPspeeder,5015,https://github.com/wangyu-/UDPspeeder.git,https://github.com/wangyu-/UDPspeeder,cpp,"A Tunnel which Improves your Network Quality on a High-latency Lossy Link by using Forward Error Correction, possible for All Traffics(TCP/UDP/ICMP)",targets
231,supertuxkart/stk-code,4945,https://github.com/supertuxkart/stk-code.git,https://github.com/supertuxkart/stk-code,cpp,The code base of SuperTuxKart,targets
246,wjakob/nanogui,4815,https://github.com/wjakob/nanogui.git,https://github.com/wjakob/nanogui,cpp,Minimalistic GUI library for OpenGL,targets
248,arrayfire/arrayfire,4812,https://github.com/arrayfire/arrayfire.git,https://github.com/arrayfire/arrayfire,cpp,ArrayFire: a general purpose GPU library.,targets
249,MegEngine/MegEngine,4804,https://github.com/MegEngine/MegEngine.git,https://github.com/MegEngine/MegEngine,cpp,MegEngine æ˜¯ä¸€ä¸ªå¿«é€Ÿã€å¯æ‹“å±•ã€æ˜“äºä½¿ç”¨ä¸”æ”¯æŒè‡ªåŠ¨æ±‚å¯¼çš„æ·±åº¦å­¦ä¹ æ¡†æ¶,targets
251,ThePhD/sol2,4751,https://github.com/ThePhD/sol2.git,https://github.com/ThePhD/sol2,cpp,"Sol3 (sol2 v3.0) - a C++ <-> Lua API wrapper with advanced features and top notch performance - is here, and it's great! Documentation:",targets
259,boostorg/beast,4679,https://github.com/boostorg/beast.git,https://github.com/boostorg/beast,cpp,HTTP and WebSocket built on Boost.Asio in C++11,targets
260,shader-slang/slang,4679,https://github.com/shader-slang/slang.git,https://github.com/shader-slang/slang,cpp,Making it easier to work with shaders,targets
265,dfranx/SHADERed,4644,https://github.com/dfranx/SHADERed.git,https://github.com/dfranx/SHADERed,cpp,"Lightweight, cross-platform & full-featured shader IDE",targets
266,paolo-projects/auto-unlocker,4640,https://github.com/paolo-projects/auto-unlocker.git,https://github.com/paolo-projects/auto-unlocker,cpp,Unlocker for VMWare macOS,targets
278,sylar-yin/sylar,4561,https://github.com/sylar-yin/sylar.git,https://github.com/sylar-yin/sylar,cpp,"C++é«˜æ€§èƒ½åˆ†å¸ƒå¼æœåŠ¡å™¨æ¡†æ¶,webserver,websocket server,è‡ªå®šä¹‰tcp_serverï¼ˆåŒ…å«æ—¥å¿—æ¨¡å—ï¼Œé…ç½®æ¨¡å—ï¼Œçº¿ç¨‹æ¨¡å—ï¼Œåç¨‹æ¨¡å—ï¼Œåç¨‹è°ƒåº¦æ¨¡å—ï¼Œioåç¨‹è°ƒåº¦æ¨¡å—ï¼Œhookæ¨¡å—ï¼Œsocketæ¨¡å—ï¼Œbytearrayåºåˆ—åŒ–ï¼Œhttpæ¨¡å—ï¼ŒTcpServeræ¨¡å—ï¼ŒWebsocketæ¨¡å—ï¼ŒHttpsæ¨¡å—ç­‰, Smtpé‚®ä»¶æ¨¡å—, MySQL, SQLite3, ORM,Redis,Zookeeper)",targets
280,USCiLab/cereal,4540,https://github.com/USCiLab/cereal.git,https://github.com/USCiLab/cereal,cpp,A C++11 library for serialization,targets
284,Chlumsky/msdfgen,4512,https://github.com/Chlumsky/msdfgen.git,https://github.com/Chlumsky/msdfgen,cpp,Multi-channel signed distance field generator,targets
285,leejet/stable-diffusion.cpp,4498,https://github.com/leejet/stable-diffusion.cpp.git,https://github.com/leejet/stable-diffusion.cpp,cpp,"Diffusion model(SD,Flux,Wan,Qwen Image,...) inference in pure C/C++",targets
288,jmpews/Dobby,4482,https://github.com/jmpews/Dobby.git,https://github.com/jmpews/Dobby,cpp,"a lightweight, multi-platform, multi-architecture hook framework.",targets
293,CrowCpp/Crow,4444,https://github.com/CrowCpp/Crow.git,https://github.com/CrowCpp/Crow,cpp,A Fast and Easy to use microframework for the web.,targets
296,sorayuki/obs-multi-rtmp,4422,https://github.com/sorayuki/obs-multi-rtmp.git,https://github.com/sorayuki/obs-multi-rtmp,cpp,OBSè¤‡æ•°ã‚µã‚¤ãƒˆåŒæ™‚é…ä¿¡ãƒ—ãƒ©ã‚°ã‚¤ãƒ³,targets
299,andreasfertig/cppinsights,4403,https://github.com/andreasfertig/cppinsights.git,https://github.com/andreasfertig/cppinsights,cpp,C++ Insights - See your source code with the eyes of a compiler,targets
303,ARM-software/ComputeLibrary,3068,https://github.com/ARM-software/ComputeLibrary.git,https://github.com/ARM-software/ComputeLibrary,cpp,The Compute Library is a set of computer vision and machine learning functions optimised for both Arm CPUs and GPUs using SIMD technologies.,targets
306,shogun-toolbox/shogun,3054,https://github.com/shogun-toolbox/shogun.git,https://github.com/shogun-toolbox/shogun,cpp,ShÅgun,targets
315,heavyai/heavydb,3032,https://github.com/heavyai/heavydb.git,https://github.com/heavyai/heavydb,cpp,HeavyDB (formerly MapD/OmniSciDB),targets
316,bloomberg/blazingmq,3030,https://github.com/bloomberg/blazingmq.git,https://github.com/bloomberg/blazingmq,cpp,A modern high-performance open source message queuing system,targets
326,NVIDIAGameWorks/Falcor,3002,https://github.com/NVIDIAGameWorks/Falcor.git,https://github.com/NVIDIAGameWorks/Falcor,cpp,Real-Time Rendering Framework,targets
329,hku-mars/FAST-LIVO2,2988,https://github.com/hku-mars/FAST-LIVO2.git,https://github.com/hku-mars/FAST-LIVO2,cpp,"FAST-LIVO2: Fast, Direct LiDAR-Inertial-Visual Odometry",targets
332,microsoft/proxy,2980,https://github.com/microsoft/proxy.git,https://github.com/microsoft/proxy,cpp,Proxy: Next Generation Polymorphism in C++,targets
335,li-plus/chatglm.cpp,2970,https://github.com/li-plus/chatglm.cpp.git,https://github.com/li-plus/chatglm.cpp,cpp,C++ implementation of ChatGLM-6B & ChatGLM2-6B & ChatGLM3 & GLM4(V),targets
337,SerenityOS/jakt,2964,https://github.com/SerenityOS/jakt.git,https://github.com/SerenityOS/jakt,cpp,The Jakt Programming Language,targets
340,DescentDevelopers/Descent3,2957,https://github.com/DescentDevelopers/Descent3.git,https://github.com/DescentDevelopers/Descent3,cpp,Descent 3 by Outrage Entertainment,targets
350,ttttupup/wxhelper,2927,https://github.com/ttttupup/wxhelper.git,https://github.com/ttttupup/wxhelper,cpp,Hook  WeChat  / å¾®ä¿¡é€†å‘,targets
351,facebook/wdt,2923,https://github.com/facebook/wdt.git,https://github.com/facebook/wdt,cpp,Warp speed Data Transfer (WDT)  is an embeddedable library (and command line tool) aiming to transfer data between 2 systems as fast as possible over multiple TCP paths.,targets
357,aardappel/treesheets,2907,https://github.com/aardappel/treesheets.git,https://github.com/aardappel/treesheets,cpp,TreeSheets : Free Form Data Organizer (see strlen.com/treesheets),targets
361,FEX-Emu/FEX,2904,https://github.com/FEX-Emu/FEX.git,https://github.com/FEX-Emu/FEX,cpp,A fast usermode x86 and x86-64 emulator for Arm64 Linux,targets
362,qt-creator/qt-creator,2904,https://github.com/qt-creator/qt-creator.git,https://github.com/qt-creator/qt-creator,cpp,A cross-platform Qt IDE,targets
366,subsurface/subsurface,2900,https://github.com/subsurface/subsurface.git,https://github.com/subsurface/subsurface,cpp,This is the official upstream of the Subsurface divelog program,targets
387,namazso/SecureUxTheme,2838,https://github.com/namazso/SecureUxTheme.git,https://github.com/namazso/SecureUxTheme,cpp,ğŸ¨ A secure boot compatible in-memory UxTheme patcher,targets
390,Almamu/linux-wallpaperengine,2834,https://github.com/Almamu/linux-wallpaperengine.git,https://github.com/Almamu/linux-wallpaperengine,cpp,Wallpaper Engine backgrounds for Linux!,targets
395,shouxieai/tensorRT_Pro,2822,https://github.com/shouxieai/tensorRT_Pro.git,https://github.com/shouxieai/tensorRT_Pro,cpp,C++ library based on tensorrt integration,targets
397,opengl-tutorials/ogl,2820,https://github.com/opengl-tutorials/ogl.git,https://github.com/opengl-tutorials/ogl,cpp,,targets